"clade_name","clade_taxid","TS8S","TS8","TS7S","TS7","TS5S","TS5","TS55S","TS55","TS54S","TS54","TS53S","TS53","TS52S","TS52","TS51S","TS51","TS50S","TS50","TS4S","TS4","TS42S","TS42","TS41S","TS41","TS40S","TS40","TS3S","TS3","TS38S","TS38","TS35S","TS35","TS32S","TS32","TS31S","TS31","TS30S","TS30","TS29S","TS29","TS28S","TS28","TS27S","TS27","TS26S","TS26","TS24S","TS24","TS22S","TS22","TS20S","TS20","TS18S","TS18","TS17S","TS17","TS16S","TS16","TS14S","TS14","TS13S","TS13","TS12S","TS12","TS11S","TS11"
"s__Faecalibacterium_prausnitzii","2|1239|186801|186802|541000|216851|853",119114,172294,132744,15279,115444,54341,701622,32798,818817,327092,773996,162106,68573,49491,269305,238383,45898,226593,106831,166359,162384,30662,183732,46773,155758,268571,88882,220232,104017,545847,8041,114538,81135,93931,182894,119881,238629,114718,75279,79576,409050,240650,31678,38065,389412,279985,45551,230615,388779,49990,56824,27138,100779,49582,34185,152238,20664,52036,110761,295132,66126,67696,6195,12419,327446,209291
"s__Flavonifractor_plautii","2|1239|186801|186802|541000|946234|292800",0,879,514,0,300,7893,8415,102851,2141,14761,11442,695,0,1251,7653,0,0,92140,0,4367,771,39901,0,0,10492,34145,365,1964,6359,33005,62238,6691,0,0,0,2553,3002,0,315,12943,0,27026,0,0,8009,1022,3086,6299,9042,10918,0,0,0,2922,0,8527,3746,4847,3014,548,0,833,3041,348,9563,10387
"s__Gemmiger_formicilis","2|1239|186801|186802|541000|204475|745368",0,14125,23803,248,3890,1938,16523,13367,16901,4039,14543,690,320,7915,15509,16882,7046,4302,960,2838,3700,0,4999,470,8879,0,11835,7347,4752,27942,0,0,3911,4494,8073,48,2985,26410,0,19511,3602,6349,531,1049,0,349,3380,16922,5090,0,1520,2434,2429,4729,4039,309,100,1145,8770,8509,7189,5348,49,142,5683,711
"s__Harryflintia_acetispora","2|1239|186801|186802|541000|1892380|1849041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Clostridium_leptum","2|1239|186801|186802|541000||1535",2903,0,5557,615,527,1423,1129,0,1765,0,1567,644,0,0,1080,1737,13740,0,0,3793,723,2700,0,1057,1730,0,32,10859,0,277,5105,76199,549,12403,0,0,0,7170,534,220,997,8697,0,0,547,2947,5565,1137,0,27858,5699,0,0,6593,34054,0,29766,4474,8057,1361,7574,2144,1252,2535,453,0
"s__Clostridium_methylpentosum","2|1239|186801|186802|541000||84026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Eubacterium_siraeum","2|1239|186801|186802|541000||39492",6878,0,0,0,1130,0,340,0,1725,5930,1173,7286,0,3295,0,84,109,0,0,0,870,4621,4576,0,0,0,0,0,137,0,0,0,52770,89332,85589,0,80957,0,21781,3010,9719,34656,0,2960,10041,9683,611,0,0,0,1141,0,0,5528,8525,0,6939,0,0,0,835,4158,835,0,0,1675
"s__Ruminococcaceae_bacterium_D5","2|1239|186801|186802|541000||1520815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Ruminococcus_bicirculans","2|1239|186801|186802|541000|1263|1160721",392,0,29085,4556,722,48039,37781,0,194605,17739,38643,28267,2387,1830,0,1747,1798,16039,5889,0,189309,0,7179,10488,60431,0,12406,0,35954,0,0,0,0,0,0,1093,0,13166,68336,0,0,4725,89,0,0,1863,18591,42174,93738,0,4903,0,4480,7937,0,0,0,0,69154,1090,29302,600,0,0,260,0
"s__Ruminococcus_bromii","2|1239|186801|186802|541000|1263|40518",45352,84,77510,67414,31926,199591,86509,862,509917,46752,97940,34390,13153,0,1773,34818,139,29,0,4882,207675,111156,11956,93395,344998,285821,402,389,14382,148591,267249,427,43698,552442,0,10739,28,787,134369,619,145605,273,6361,0,39693,79953,36906,733,127133,109,651,85,257229,181808,126165,166,95121,59,410972,8235,108911,89295,58,172,40090,106134
