"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison"
"1","s__Methanobrevibacter_smithii",49.4805416281978,-1.86749415138184,2.88632399241873,-0.647014734412019,0.517622407371015,0.999950191174171,"StatusTS"
"2","s__Bifidobacterium_adolescentis",229549.127831122,-1.22088437693422,0.582070570209025,-2.09748514943092,0.0359506504274735,0.434705042130526,"StatusTS"
"3","s__Bifidobacterium_animalis",514.705800303443,2.84212397716058,2.88550771052071,0.984964956703478,0.324641284528983,0.999950191174171,"StatusTS"
"4","s__Bifidobacterium_bifidum",39827.4788514397,-0.537146456166182,1.57463634742497,-0.341124131323773,0.733010135427736,0.999950191174171,"StatusTS"
"5","s__Bifidobacterium_catenulatum",3988.36168471752,-5.7119897190808,2.06916147373736,-2.76053357438736,0.00577070261785288,0.141959284399181,"StatusTS"
"6","s__Bifidobacterium_longum",130492.869278604,-0.108116698923866,0.451581837406044,-0.239417731113601,0.81078168230998,0.999950191174171,"StatusTS"
"7","s__Bifidobacterium_pseudocatenulatum",41933.9877245431,1.32848810063284,1.03961795687418,1.27786182592229,0.201298150147999,0.999950191174171,"StatusTS"
"8","s__Collinsella_aerofaciens",73305.2034112249,-0.479548822111778,0.730953827325405,-0.656058979630041,0.511786176347512,0.999950191174171,"StatusTS"
"9","s__Collinsella_stercoris",122.190190754019,-0.357700248947042,1.34861565206657,-0.265235130853565,0.790828333234798,0.999950191174171,"StatusTS"
"10","s__Adlercreutzia_equolifaciens",7797.06106792232,0.051377066338485,0.575266144808954,0.0893100816067445,0.928835482125662,0.999950191174171,"StatusTS"
"11","s__Asaccharobacter_celatus",11537.539794849,-0.342823199999794,0.569086874106996,-0.602409255243759,0.546901750772554,0.999950191174171,"StatusTS"
"12","s__Eggerthella_lenta",11567.272569321,0.0581193658393874,0.830839852365215,0.0699525494280692,0.944231427136753,0.999950191174171,"StatusTS"
"13","s__Gordonibacter_pamelaeae",5167.7729455863,-0.368646022348921,0.592571283650929,-0.622112533158258,0.53386787433953,0.999950191174171,"StatusTS"
"14","s__Bacteroides_caccae",33114.6320952826,0.142082410653825,1.03360552664958,0.13746289758568,0.89066491773671,0.999950191174171,"StatusTS"
"15","s__Bacteroides_cellulosilyticus",8552.61748383002,-0.636968112917796,2.00539648524427,-0.31762702169103,0.75076787445691,0.999950191174171,"StatusTS"
"16","s__Bacteroides_dorei",35224.7104284796,-0.786917571466549,1.45800509619226,-0.539722099409439,0.589388697062244,0.999950191174171,"StatusTS"
"17","s__Bacteroides_eggerthii",69.3801432880521,4.49618017364068,2.88824224054459,1.55671851568548,0.119537330645876,0.91894322934017,"StatusTS"
"18","s__Bacteroides_faecis",3373.04466382412,2.65307556437061,2.42907448116699,1.09221663845236,0.274737890872588,0.999950191174171,"StatusTS"
"19","s__Bacteroides_fragilis",19106.8647542324,0.688877040636672,0.953554317479042,0.722430833786049,0.470029635513294,0.999950191174171,"StatusTS"
"20","s__Bacteroides_intestinalis",599.1161125133,1.43721307162063,2.88542906303492,0.498093365050175,0.618418236878593,0.999950191174171,"StatusTS"
"21","s__Bacteroides_massiliensis",156.859754002064,0.522816391353562,2.88557400359215,0.181182804773929,0.856224091032557,0.999950191174171,"StatusTS"
"22","s__Bacteroides_ovatus",46172.8355299228,-0.0563863457766785,0.733546329840969,-0.0768681451775553,0.938728439010199,0.999950191174171,"StatusTS"
"23","s__Bacteroides_stercoris",17281.816507046,-0.682355526415373,2.06553285252345,-0.330353267236462,0.741133048480838,0.999950191174171,"StatusTS"
"24","s__Bacteroides_thetaiotaomicron",11831.3152897734,0.125681851599648,1.49736045640367,0.0839356021872708,0.933107632972428,0.999950191174171,"StatusTS"
"25","s__Bacteroides_uniformis",155666.826686286,-0.447411200485321,0.411781068856407,-1.08652688120866,0.277245954688101,0.999950191174171,"StatusTS"
"26","s__Bacteroides_vulgatus",129120.129239949,0.522540980705537,0.542056311437452,0.963997595231087,0.335047131518265,0.999950191174171,"StatusTS"
"27","s__Bacteroides_xylanisolvens",18135.5238243088,0.987562504015839,1.22557770903666,0.805793461103412,0.420361948999616,0.999950191174171,"StatusTS"
"28","s__Barnesiella_intestinihominis",19646.3134909056,0.026756945690438,1.61171144151428,0.0166015733345534,0.986754469392505,0.999950191174171,"StatusTS"
"29","s__Coprobacter_sp",1293.50297443457,-0.893937813296057,2.07444069801966,-0.430929558097007,0.66651959056494,0.999950191174171,"StatusTS"
"30","s__Odoribacter_splanchnicus",9831.93600531402,-0.0535815668077014,1.15599696155836,-0.0463509581681509,0.963030524179687,0.999950191174171,"StatusTS"
"31","s__Prevotella_copri",669.088285580911,2.07650749759369,2.88543872338173,0.719650526891117,0.471740194101324,0.999950191174171,"StatusTS"
"32","s__Alistipes_finegoldii",11545.0036697919,-0.041086514053988,0.877433661200009,-0.0468257782563261,0.962652083486888,0.999950191174171,"StatusTS"
"33","s__Alistipes_indistinctus",171.496381754848,-2.3302297607614,2.88569955904534,-0.807509483604139,0.419373012920358,0.999950191174171,"StatusTS"
"34","s__Alistipes_putredinis",71355.2182721382,0.0320646037410853,0.664598369192921,0.0482465880559174,0.961519721494928,0.999950191174171,"StatusTS"
"35","s__Alistipes_shahii",7837.67221408588,0.0135875339095893,1.19983598056527,0.0113244927887459,0.990964555169153,0.999950191174171,"StatusTS"
"36","s__Parabacteroides_distasonis",18182.4273850254,0.902295330480065,0.860944556869993,1.04802954299451,0.294624995752159,0.999950191174171,"StatusTS"
"37","s__Parabacteroides_goldsteinii",272.230081683819,-5.99845747597468,2.88729766851169,-2.07753344637537,0.0377523515894345,0.434705042130526,"StatusTS"
"38","s__Parabacteroides_merdae",20681.4856883894,0.460892866695527,1.06450622275669,0.432963994801251,0.665040927307809,0.999950191174171,"StatusTS"
"39","s__Lactobacillus_rogosae",65.4368289529695,-2.02159368476978,2.48998758915716,-0.811889060641493,0.416855292066042,0.999950191174171,"StatusTS"
"40","s__Streptococcus_parasanguinis",263.417383130488,-1.95292627874121,1.64575901835501,-1.18664169964156,0.235368980306855,0.999950191174171,"StatusTS"
"41","s__Streptococcus_salivarius",2639.80061987863,-0.444418718865059,0.849901401120423,-0.522906208036818,0.601039524248061,0.999950191174171,"StatusTS"
"42","s__Streptococcus_thermophilus",1394.86121397406,0.443306970294848,1.63194175260588,0.271643868163172,0.785895865385078,0.999950191174171,"StatusTS"
"43","s__Catabacter_hongkongensis",5.11419105016932,-0.510439333990005,2.89154331313289,-0.176528337539223,0.859878888100733,0.999950191174171,"StatusTS"
"44","s__Christensenella_minuta",96.0346145450566,25.3878690555283,2.84877197054523,8.9118642411626,5.01815567837237e-19,2.05744382813267e-17,"StatusTS"
"45","s__Clostridium_disporicum",653.240480202318,-0.690211126501588,1.94946631167163,-0.354051322851404,0.723300420969581,0.999950191174171,"StatusTS"
"46","s__Clostridium_sp_CAG_167",701.588359477076,0.305016644962324,2.22776606312229,0.13691592219285,0.891097253269807,0.999950191174171,"StatusTS"
"47","s__Clostridium_sp_CAG_299",84.4206744158921,1.54178342080034,2.88586667022309,0.534253171398647,0.593166386343077,0.999950191174171,"StatusTS"
"48","s__Clostridium_sp_CAG_58",1714.88207582537,-0.149355934933718,1.00540592156983,-0.148552869770764,0.881906464716008,0.999950191174171,"StatusTS"
"49","s__Hungatella_hathewayi",1874.2487431119,-0.816200373914821,1.90366227100605,-0.428752718560459,0.668103190753478,0.999950191174171,"StatusTS"
