"","microbe","Comparison","deseq_LFC","deseq_padj","M2_coef","M2_padj","Num_not_zero"
"130","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum","SexF",-1.24386920411966,0.973580958225409,-619.726073564,0.695330283735466,48
"131","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens","SexF",-2.29089665293985,0.595981897418564,-4588.89628095307,0.00172196953255819,60
"132","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris","SexF",-2.83517650042913,NA,-8.24877200219963,0.857808030199056,26
"133","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens","SexF",1.68892178198109,0.612163277747207,32.4392973740478,0.883947629234198,58
"134","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus","SexF",2.61800112999341,0.23500138675677,74.7570117253686,0.797859552202313,59
"135","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta","SexF",-0.0177234737578391,0.99953461720537,-63.7533844720085,0.932715840573666,51
"136","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae","SexF",0.341010961864157,0.99953461720537,-36.053632210271,0.890703104351619,58
"137","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae","SexF",2.31334681443948,0.731534064489704,153.814015360751,0.923670069613833,45
"138","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus","SexF",28.4926734687964,5.66539557596667e-07,84.1015382944547,0.890703104351619,20
"139","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei","SexF",8.45626705946604,0.0896946147843776,505.429266949513,0.834992112998047,33
"140","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii","SexF",26.6179021146394,0.00207789455327512,224.605980246964,0.890703104351619,8
"141","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis","SexF",27.1306572992607,0.000221090580419753,-6.07366073458629,0.997992743698782,14
"142","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis","SexF",4.43847186313622,0.244658337578673,838.922076608128,0.890703104351619,47
"143","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis","SexF",24.9711306834148,0.00453907965242916,123.414238732019,0.879935050964449,8
"144","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis","SexF",24.0599232756379,0.00667316426666312,9.76463170600524,0.948664623979939,9
"145","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus","SexF",2.94704463834086,0.344483478666708,256.836125929636,0.948664623979939,58
"146","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris","SexF",0.051138422635712,NA,2.37677469614016,0.997992743698782,20
"147","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron","SexF",0.159420144498152,0.99953461720537,-168.373323486422,0.747280812984394,30
"148","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis","SexF",2.46155181139845,0.0742111392012689,966.001600578512,0.826783246944457,66
"149","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus","SexF",0.835076314075851,0.902187636768525,-928.911398309985,0.834992112998047,65
"150","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens","SexF",-2.70721401078886,0.731534064489704,-575.875598326428,0.826783246944457,39
"151","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis","SexF",7.39046774516263,0.238157819827366,308.586939608629,0.746570817693902,28
"152","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_sp","SexF",25.4320785904758,2.17759863194927e-05,22.2896369277844,0.826783246944457,17
"153","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus","SexF",3.56972226197212,0.60429033303645,90.6237289523507,0.826783246944457,38
"154","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri","SexF",-30,NA,214.970824047857,0.887852990130662,9
"155","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii","SexF",1.3351359978303,0.902187636768525,31.4594424502547,0.960956486926275,49
"156","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus","SexF",0.27143417947565,NA,17.9477842999163,0.915358240448981,12
"157","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis","SexF",3.24780819508691,0.204837129366253,620.82578130252,0.746570817693902,60
